author,comment,normalized_comment,likes,published_at,reply_count,time,relevance/keep for review,low_content,duplicate,other(notes),kategorisierung,vergleich,distinktheit,repräsentation,stereotypen,identität,position,fragment,sagbarkeitsfeld,macht_wissen,fantasy_booking
@CHUCKECHEESERANCH,"NBA lead in, new eyes on punks show (collision), more stories on the b show. Also bad audio issues wed would have ruined it even though that wasn't planned.","nba lead in, new eyes on punks show (collision), more stories on the b show. also bad audio issues wed would have ruined it even though that wasn't planned.",0,2024-04-28T09:12:01Z,0,,1,0,0,"bezug z.196 @JohnDoe-vc7bw; Punk show = cm punk, ehemaliger wrestler bei aew, zeit lang rumors, dass die collision show eingeführt wurde, damit er bleibt und verschiedenen kolleg*innen aus dem weg gehen kann; zudem spekulationen über ein veto-recht für cm punk, wer bei den shows anwesend sein darf und wer nicht",0,1,0,0,0,0,2,"zuschauer*innenzahlen, sichtbarkeit, technische details",0,1,0
@kr6productions,"@@CHUCKECHEESERANCH good attendance still I reckon?

Just looks too little, but still a great crowd.","@chuckecheeseranc h good attendance still i reckon? just looks too little, but still a great crowd.",0,2024-04-28T09:15:29Z,0,,0,0,0,,,,,,,,,,,,
@malikhaider6260,Never seen the title look so good on someone,never seen the title look so good on someone,4,2024-04-28T09:16:56Z,0,,0,0,1,inhaltliche dopplung,,,,,,,,,,,
@CHUCKECHEESERANCH,"You E fans never happy, he got a NBA game lead-in and is building the b show and being a fighting champ.","you e fans never happy, he got a nba game lead-in and is building the b show and being a fighting champ.",0,2024-04-28T09:17:17Z,0,,1,0,0,bezug auf z.83 @bigweezey; was meint E fans? Entertainment?,1,1,1,1,0,1,3,0,1,0,0
@CHUCKECHEESERANCH,"Nah, he earned it, would be woke if they gave it to anyone before him because of skin color cause they aren't at his level on the mic and in ring.","nah, he earned it, would be woke if they gave it to anyone before him because of skin color cause they aren't at his level on the mic and in ring.",0,2024-04-28T09:18:50Z,0,,1,0,0,bezug auf z. 326 @seanbonella,1,1,1,1,1,1,1,0,0,1,0
@fra_comedyrelief9570,Here to watch the Pepsi of Pro Wrestling against the Harvey Weinstein of Pro Wrestling 😂😂😂 🤡,here to watch the pepsi of pro wrestling against the harvey weinstein of pro wrestling 😂😂😂 🤡,2,2024-04-28T09:21:46Z,0,,0,0,0,"nicht auffindbares kommentar, möglicherweise gelöscht",,,,,,,,,,,
@MatthewMotivation,look at that crowd??? Looks like they got blasted back to the stone ages,look at that crowd??? looks like they got blasted back to the stone ages,1,2024-04-28T09:27:46Z,0,,0,0,0,,,,,,,,,,,,
@AchhaAchha1,Swerve strickland vs Trick Williams,swerve strickland vs trick williams,0,2024-04-28T09:31:47Z,0,,1,0,0,"fantasy booking, trick williams = schwarzer wrestler, der aktuell beliebt ist, in wwe",1,1,0,1,0,1,2,0,0,0,1
@wr3dimpact,For the first time I'm hearing prince nana's voice,for the first time i'm hearing prince nana's voice,0,2024-04-28T09:42:45Z,0,,0,0,0,,,,,,,,,,,,
@thegoat6325,A REAL Champion!,a real champion!,3,2024-04-28T09:51:00Z,0,,1,0,0,,0,1,1,0,0,1,1,0,0,0,0
@Piddb124,😂😂😂😂,😂😂😂😂,0,2024-04-28T09:52:11Z,0,,0,1,0,,,,,,,,,,,,
@thegoat6325,Prince nana cold with that mic,prince nana cold with that mic,3,2024-04-28T09:52:16Z,0,,0,0,0,swerves manager? Also relevant?,,,,,,,,,,,
@apjapki,Did Swerve just cut a face promo about how he ISN'T going to make more time for his daughter? .........ok,did swerve just cut a face promo about how he isn't going to make more time for his daughter? .........ok,0,2024-04-28T09:54:05Z,0,,1,0,0,,0,0,0,1,0,1,2,0,1,0,0
@bernardterrence4964,"I'm 47 yrs old. I've watched wrestling for a long time. This is the first time I've felt GENUINELY PROUD a champion, MY CHAMPION, SWERVE!!!! 
AEW, AEW, AEW, AEW, AEW, AEW, AEW!!!!","i'm 47 yrs old. i've watched wrestling for a long time. this is the first time i've felt genuinely proud a champion, my champion, swerve!!!! aew, aew, aew, aew, aew, aew, aew!!!!",52,2024-04-28T09:55:23Z,5,,1,0,0,,0,1,1,1,0,1,1,0,1,0,0
@hipocreteblock,Who's house 🏡 swerve house 🏠,who's house 🏡 swerve house 🏠,0,2024-04-28T09:57:36Z,0,,0,0,1,,,,,,,,,,,,
@saqib7965,The looking belt in wrestling,the looking belt in wrestling,1,2024-04-28T10:04:00Z,0,,0,0,0,,,,,,,,,,,,
@nishikeithpradhan9819,Man Claudio should get a  world title run at the end of the year or so he always delivers bangers everytime he is booked he really deserves a world title run fr,man claudio should get a world title run at the end of the year or so he always delivers bangers everytime he is booked he really deserves a world title run fr,1,2024-04-28T10:04:05Z,1,,0,0,0,"fantasy booking, nicht direkt auf swerve bezogen, relevant?",,,,,,,,,,,
@saqib7965,Swerve vs Ospreay in the future will be incredible,swerve vs ospreay in the future will be incredible,1,2024-04-28T10:06:02Z,0,,0,0,1, inhaltliche dopplung,,,,,,,,,,,
@jewixy24axxhie,Proud of this young black man.,proud of this young black man.,48,2024-04-28T10:09:43Z,2,,1,0,0,,1,0,0,1,0,1,1,0,0,0,0
